CONTRACT_ID,SITE_NAME,SPECIALTY_CD,NUMERATOR,DENOMINATOR
0212789F,AimBig Employment MAYLANDS,MENH,0,0
0212789F,AimBig Employment DULWICH,MENH,0,0
0212790K,AimBig Employment DULWICH,MUSK,0,0
0212790K,AimBig Employment MAYLANDS,MUSK,0,0
0212790K,AimBig Employment PROSPECT,MUSK,0,28
0212789F,AimBig Employment PROSPECT,MENH,0,40
0212792A,AimBig Employment MILE END,MUSK,1,18
0212792A,AimBig Employment Pty Ltd. SEATON,MUSK,0,0
0212791K,AimBig Employment MILE END,MENH,0,30
0212791K,AimBig Employment Pty Ltd. SEATON,MENH,0,0
0212794C,AimBig Employment NERANG,MUSK,0,1
0212794C,AimBig Employment SOUTHPORT,MUSK,0,0
0212794C,AimBig Employment SURFERS PARADISE,MUSK,0,39
0212793B,AimBig Employment SURFERS PARADISE,MENH,0,28
0212793B,AimBig Employment BURLEIGH HEADS,MENH,0,47
0212793B,AimBig Employment Pty Ltd SOUTHPORT,MENH,0,0
0212793B,AimBig Employment NERANG,MENH,0,4
0212793B,AimBig Employment SOUTHPORT,MENH,0,2
0212794C,AimBig Employment BURLEIGH HEADS,MUSK,0,14
0212879H,AimBig Employment MITCHELTON,AALL,0,17
0212879H,AimBig Employment NORTH LAKES,AALL,0,38
0212879H,AimBig Employment FORTITUDE VALLEY,AALL,0,20
0212879H,AimBig Employment TOOWONG,AALL,0,50
0212879H,AimBig Employment CHERMSIDE,AALL,0,16
0212795D,AimBig Employment STRATHPINE,AALL,0,2
0212879H,AimBig Employment STRATHPINE,AALL,0,0
0212795D,AimBig Employment NORTH LAKES,AALL,2,65
0212795D,AimBig Employment TOOWONG,AALL,2,46
0212795D,AimBig Employment MITCHELTON,AALL,0,17
0212795D,AimBig Employment CHERMSIDE,AALL,0,21
0212795D,AimBig Employment FORTITUDE VALLEY,AALL,0,15
0212797F,AimBig Employment CAPALABA,MUSK,0,0
0212797F,AimBig Employment INALA,MUSK,0,5
0212797F,AimBig Employment UPPER MOUNT GRAVATT,MUSK,0,31
0212797F,AimBig Employment WOOLLOONGABBA,MUSK,0,8
0212796E,AimBig Employment WOOLLOONGABBA,MENH,0,26
0212796E,AimBig Employment UPPER MOUNT GRAVATT,MENH,0,41
0212796E,AimBig Employment CAPALABA,MENH,0,0
0212796E,AimBig Employment INALA,MENH,0,6
0212874C,AimBig Employment CALOUNDRA,MENH,1,20
0212875D,AimBig Employment CALOUNDRA,MUSK,0,9
0212798G,AimBig Employment CAIRNS CITY,MENH,0,26
0212799H,AimBig Employment CAIRNS CITY,MUSK,0,9
0212801H,AimBig Employment ROCKHAMPTON CITY,MUSK,0,14
0212800G,AimBig Employment ROCKHAMPTON CITY,MENH,0,17
0212803K,AimBig Employment MACKAY,MUSK,0,8
0212802J,AimBig Employment MACKAY,MENH,0,17
0212805A,AimBig Employment AITKENVALE,MUSK,1,13
0212804K,AimBig Employment AITKENVALE,MENH,2,22
0212876E,AimBig Employment SALE,MUSK,0,0
0212806B,AimBig Employment SALE,MENH,0,0
0212877F,AimBig Employment TRARALGON,MENH,0,0
0212878G,AimBig Employment TRARALGON,MUSK,0,0
0212807C,AimBig Employment KALGOORLIE,AALL,0,0
0212880A,AimBig Employment KALGOORLIE,AALL,0,0
0212808D,AimBig Employment GERALDTON,MENH,0,0
0212811K,AimBig Employment BUNBURY,MUSK,0,5
0212810J,AimBig Employment BUNBURY,MENH,0,11
0212812K,AimBig Employment WOY WOY,AALL,1,23
0212881B,AimBig Employment KANWAL,AALL,0,42
0212881B,AimBig Employment GOSFORD,AALL,0,9
0212881B,AimBig Employment ETTALONG BEACH,AALL,0,42
0212881B,AimBig Employment THE ENTRANCE,AALL,0,20
0212881B,AimBig Employment WOY WOY,AALL,0,16
0212881B,AimBig Employment WYONG,AALL,0,8
0212812K,AimBig Employment GOSFORD,AALL,0,12
0212812K,AimBig Employment THE ENTRANCE,AALL,0,24
0212812K,AimBig Employment WYONG,AALL,0,11
0212812K,AimBig Employment ETTALONG BEACH,AALL,0,49
0212812K,AimBig Employment KANWAL,AALL,0,23
0212813A,AimBig Employment MAITLAND,AALL,0,30
0212813A,AimBig Employment CESSNOCK,AALL,0,32
0212882C,AimBig Employment MAITLAND,AALL,0,31
0212882C,AimBig Employment CESSNOCK,AALL,0,21
0212814B,AimBig Employment TAMWORTH,AALL,0,34
0212814B,AimBig Employment GUNNEDAH,AALL,0,7
0212883D,AimBig Employment TAMWORTH,AALL,0,28
0212883D,AimBig Employment GUNNEDAH,AALL,0,13
0212815C,AimBig Employment CHARLESTOWN,AALL,0,3
0212815C,AimBig Employment BROADMEADOW,AALL,0,32
0212884E,AimBig Employment CHARLESTOWN,AALL,0,1
0212884E,AimBig Employment BROADMEADOW,AALL,0,37
0212885F,AimBig Employment SINGLETON,AALL,0,17
0212816D,AimBig Employment SINGLETON,AALL,0,16
0212817E,AimBig Employment Pty Ltd SUNBURY,AALL,0,0
0212817E,AimBig Employment Pty Ltd COBURG,AALL,0,0
0212817E,AimBig Employment GLENROY,AALL,0,9
0212817E,AimBig Employment MOONEE PONDS,AALL,1,112
0212886G,AimBig Employment MOONEE PONDS,AALL,2,62
0212817E,AimBig Employment BROADMEADOWS,AALL,0,53
0212817E,AimBig Employment CRAIGIEBURN,AALL,0,65
0212886G,AimBig Employment BROADMEADOWS,AALL,0,46
0212886G,AimBig Employment CRAIGIEBURN,AALL,0,41
0212886G,AimBig Employment Pty Ltd COBURG,AALL,0,0
0212886G,AimBig Employment Pty Ltd SUNBURY,AALL,0,0
0212886G,AimBig Employment GLENROY,AALL,0,4
0212819G,AimBig Employment Pty Ltd MORNINGTON,MUSK,0,0
0212818F,AimBig Employment FRANKSTON,MENH,0,51
0212818F,AimBig Employment Pty Ltd CAPEL SOUND,MENH,0,0
0212818F,AimBig Employment Pty Ltd MORNINGTON,MENH,0,0
0212819G,AimBig Employment FRANKSTON,MUSK,0,25
0212820K,AimBig Employment Pty Ltd RESERVOIR,MENH,0,1
0212820K,AimBig Employment Pty Ltd PRESTON,MENH,0,0
0212820K,AimBig Employment Pty Ltd THOMASTOWN,MENH,0,0
0212821A,AimBig Employment Pty Ltd PRESTON,MUSK,0,0
0212821A,AimBig Employment Pty Ltd RESERVOIR,MUSK,0,0
0212821A,AimBig Employment Pty Ltd THOMASTOWN,MUSK,0,0
0212820K,AimBig Employment EPPING,MENH,0,48
0212820K,AimBig Employment HEIDELBERG,MENH,0,30
0212821A,AimBig Employment HEIDELBERG,MUSK,0,8
0212821A,AimBig Employment EPPING,MUSK,0,15
