,Program,JOB_SEEKER_ID,CONTRACT_ID,SITE_CODE,SITE_DESCRIPTION,ESA_CODE,ESA Name,State,SPECIALIST_SITE_TYPE_CODE,Num_13_full,Den_13_full,Num_52,Den_52
0,ESS,168470,0212898K,AB31,AimBig Employment AUBURN,4CWS,Northern Sydney,NSW,AALL,0.0,0.0,,
1,DMS,451780,0212875D,MO37,AimBig Employment CALOUNDRA,4SUC,QLD North,QLD,MUSK,0.0,5.0,,
2,DMS,3606070,0212846K,MM07,AimBig Employment BURWOOD,4INW,South East Sydney,NSW,MENH,0.0,0.0,,
3,DMS,618010,0212823C,MN07,AimBig Employment SUNSHINE,4WES,Western Victoria,VIC,MUSK,,,,
4,DMS,630040,0212831C,MM67,AimBig Employment ROCKINGHAM,4CWM,Western Australia,WA,MENH,0.0,0.0,,
5,DMS,799566509,0212826F,AD51,AimBig Employment COFFS HARBOUR,4COH,Northern NSW,NSW,AALL,1.0,1.0,,
6,DMS,842424109,0212817E,AD81,AimBig Employment MOONEE PONDS,4CAL,Northern Victoria,VIC,AALL,,,,
7,DMS,9207886709,0212801H,MO17,AimBig Employment ROCKHAMPTON CITY,4CAP,QLD North,QLD,MUSK,0.0,0.0,,
8,DMS,1294682809,0212818F,MN47,AimBig Employment FRANKSTON,4PEN,South Victoria,VIC,MENH,0.0,0.0,,
9,DMS,8918718809,0212822B,MM87,AimBig Employment WERRIBEE,4WES,Western Victoria,VIC,MENH,0.0,8.0,,
10,DMS,7725716003,0212846K,MM07,AimBig Employment BURWOOD,4INW,South East Sydney,NSW,MENH,0.0,8.0,,
11,ESS,7252000003,0212904D,A991,AimBig Employment MIRANDA,4SGS,South East Sydney,NSW,AALL,,,,
12,ESS,1972652909,0212897K,AB61,AimBig Employment CHINCHILLA,4WDO,QLD South and West,QLD,AALL,1.0,1.0,,
13,ESS,1451406019,0212898K,AB21,AimBig Employment BAULKHAM HILLS,4CWS,Northern Sydney,NSW,AALL,1.0,1.0,,
14,DMS,7112707709,0212845J,NX07,AimBig Employment SYDNEY,4INS,Eastern Sydney,NSW,AALL,,,,
15,ESS,7347610001,0212879H,MK77,AimBig Employment TOOWONG,4NOB,QLD North,QLD,AALL,,,,
16,ESS,7579803209,0212900K,AA61,AimBig Employment DARLINGHURST,4INS,Eastern Sydney,NSW,AALL,0.0,0.0,,
17,ESS,3486013004,0212889K,AD31,AimBig Employment GLEN INNES,4NEE,Northern NSW,NSW,AALL,,,,
18,ESS,22018019,0212882C,AE41,AimBig Employment CESSNOCK,4HUT,Newcastle/Hunter,NSW,AALL,,,,
19,ESS,7749629509,0212900K,AA81,AimBig Employment LEICHHARDT,4INS,Eastern Sydney,NSW,AALL,,,,
20,ESS,1609920003,0212902B,AA21,AimBig Employment CAMPBELLTOWN,4MAC,South Western Sydney,NSW,AALL,0.0,0.0,,
21,DMS,203669609,0212795D,MK87,AimBig Employment CHERMSIDE,4NOB,QLD North,QLD,AALL,,,,
22,ESS,9951406609,0212900K,AA51,AimBig Employment SURRY HILLS,4INS,Eastern Sydney,NSW,AALL,0.0,8.0,,
23,ESS,166763209,0212899A,AB01,AimBig Employment CABRAMATTA,4FAI,Western Sydney,NSW,AALL,,,,
24,DMS,9442318209,0212817E,AD81,AimBig Employment MOONEE PONDS,4CAL,Northern Victoria,VIC,AALL,0.0,0.0,,
25,DMS,7842370004,0212795D,MK97,AimBig Employment NORTH LAKES,4NOB,QLD North,QLD,AALL,0.0,8.0,,
26,DMS,7870290004,0212795D,MK97,AimBig Employment NORTH LAKES,4NOB,QLD North,QLD,AALL,0.0,8.0,0.0,0.0
27,DMS,9439040003,0212845J,AA51,AimBig Employment SURRY HILLS,4INS,Eastern Sydney,NSW,AALL,,,,
28,DMS,135970,0212832D,MM67,AimBig Employment ROCKINGHAM,4CWM,Western Australia,WA,MUSK,0.0,8.0,,
29,DMS,531090,0212844H,AA91,AimBig Employment FAIRFIELD,4FAI,Western Sydney,NSW,AALL,0.0,0.0,,
30,DMS,459080,0212844H,AA91,AimBig Employment FAIRFIELD,4FAI,Western Sydney,NSW,AALL,0.0,0.0,,
31,ESS,7901483709,0212897K,AB51,AimBig Employment DALBY,4WDO,QLD South and West,QLD,AALL,,,,
32,DMS,7428106909,0212840D,MM37,AimBig Employment BANKSTOWN,4CAB,South East Sydney,NSW,MUSK,0.0,0.0,,
33,DMS,3598474509,0212845J,AA61,AimBig Employment DARLINGHURST,4INS,Eastern Sydney,NSW,AALL,,,,
34,ESS,2599150,0212900K,AA61,AimBig Employment DARLINGHURST,4INS,Eastern Sydney,NSW,AALL,1.0,1.0,,
35,ESS,7453485709,0212898K,AB11,AimBig Employment PARRAMATTA,4CWS,Northern Sydney,NSW,AALL,,,,
36,ESS,393790909,0212889K,AD31,AimBig Employment GLEN INNES,4NEE,Northern NSW,NSW,AALL,,,,
37,DMS,4214533003,0212855K,A991,AimBig Employment MIRANDA,4SGS,South East Sydney,NSW,AALL,,,,
38,DMS,9095099209,0212822B,MM97,AimBig Employment TAYLORS LAKES,4WES,Western Victoria,VIC,MENH,,,,
39,DMS,6370928109,0212838K,AB51,AimBig Employment DALBY,4WDO,QLD South and West,QLD,AALL,,,,
40,ESS,3106622309,0212882C,AE51,AimBig Employment MAITLAND,4HUT,Newcastle/Hunter,NSW,AALL,,,,
41,DMS,9619985019,0212823C,MM97,AimBig Employment TAYLORS LAKES,4WES,Western Victoria,VIC,MUSK,,,,
42,DMS,3670259509,0212800G,MO17,AimBig Employment ROCKHAMPTON CITY,4CAP,QLD North,QLD,MENH,0.0,0.0,,
43,ESS,324231004,0212879H,MK97,AimBig Employment NORTH LAKES,4NOB,QLD North,QLD,AALL,0.0,8.0,,
44,DMS,2343750,0212841E,AB31,AimBig Employment AUBURN,4CWS,Northern Sydney,NSW,AALL,0.0,8.0,,
45,DMS,17500002,0212812K,MK57,AimBig Employment ETTALONG BEACH,4CEC,Central Coast NSW,NSW,AALL,,,,
46,DMS,494502019,0212833E,MM57,AimBig Employment JOONDALUP,4NOM,Western Australia,WA,MENH,1.0,1.0,,
47,DMS,9715338609,0212820K,MN27,AimBig Employment HEIDELBERG,4PLE,Western Victoria,VIC,MENH,,,,
48,DMS,569761005,0212791K,MO77,AimBig Employment MILE END,4WEA,South Australia,SA,MENH,,,,
49,DMS,559124209,0212828H,AD21,AimBig Employment INVERELL,4NEE,Northern NSW,NSW,AALL,,,,
50,ESS,91408003,0212897K,AB41,AimBig Employment ROMA,4WDO,QLD South and West,QLD,AALL,,,,
51,ESS,428214409,0212882C,AE51,AimBig Employment MAITLAND,4HUT,Newcastle/Hunter,NSW,AALL,1.0,8.0,,
52,DMS,8126697109,0212831C,MM67,AimBig Employment ROCKINGHAM,4CWM,Western Australia,WA,MENH,,,,
53,DMS,8034681003,0212812K,MK57,AimBig Employment ETTALONG BEACH,4CEC,Central Coast NSW,NSW,AALL,,,,
54,DMS,6025457003,0212828H,AD21,AimBig Employment INVERELL,4NEE,Northern NSW,NSW,AALL,,,,
55,DMS,538195409,0212817E,AD81,AimBig Employment MOONEE PONDS,4CAL,Northern Victoria,VIC,AALL,1.0,8.0,,
56,DMS,836537209,0212828H,AD31,AimBig Employment GLEN INNES,4NEE,Northern NSW,NSW,AALL,,,,
57,ESS,607100709,0212882C,AE51,AimBig Employment MAITLAND,4HUT,Newcastle/Hunter,NSW,AALL,,,,
58,DMS,137244309,0212848A,AA41,AimBig Employment LIVERPOOL,4LIV,Western Sydney,NSW,AALL,0.0,8.0,,
59,DMS,292778909,0212795D,MK97,AimBig Employment NORTH LAKES,4NOB,QLD North,QLD,AALL,,,,
60,ESS,795844509,0212901A,AA41,AimBig Employment LIVERPOOL,4LIV,Western Sydney,NSW,AALL,0.0,0.0,,
61,DMS,872604109,0212813A,AE51,AimBig Employment MAITLAND,4HUT,Newcastle/Hunter,NSW,AALL,,,,
62,ESS,7884695809,0212900K,AA51,AimBig Employment SURRY HILLS,4INS,Eastern Sydney,NSW,AALL,0.0,0.0,,
63,DMS,8300953007,0212818F,MN47,AimBig Employment FRANKSTON,4PEN,South Victoria,VIC,MENH,0.0,8.0,,
64,ESS,7860059609,0212900K,AA51,AimBig Employment SURRY HILLS,4INS,Eastern Sydney,NSW,AALL,0.0,8.0,,
65,DMS,602112409,0212822B,MM97,AimBig Employment TAYLORS LAKES,4WES,Western Victoria,VIC,MENH,,,,
66,DMS,7539991003,0212844H,AA91,AimBig Employment FAIRFIELD,4FAI,Western Sydney,NSW,AALL,0.0,8.0,,
67,ESS,7740916003,0212881B,MK57,AimBig Employment ETTALONG BEACH,4CEC,Central Coast NSW,NSW,AALL,,,,
68,DMS,294303409,0212814B,AE21,AimBig Employment GUNNEDAH,4KEE,Northern NSW,NSW,AALL,0.0,7.0,,
69,DMS,396060019,0212838K,AB51,AimBig Employment DALBY,4WDO,QLD South and West,QLD,AALL,0.0,8.0,,
70,ESS,994315309,0212900K,AA61,AimBig Employment DARLINGHURST,4INS,Eastern Sydney,NSW,AALL,,,,
71,DMS,747163003,0212813A,AE41,AimBig Employment CESSNOCK,4HUT,Newcastle/Hunter,NSW,AALL,0.0,8.0,,
72,ESS,7629774509,0212899A,AB01,AimBig Employment CABRAMATTA,4FAI,Western Sydney,NSW,AALL,,,,
73,DMS,7841352509,0212845J,AA81,AimBig Employment LEICHHARDT,4INS,Eastern Sydney,NSW,AALL,0.0,8.0,,
74,DMS,7633478209,0212861J,AC51,AimBig Employment HOBART,4HOB,Tasmania,TAS,AALL,,,,
75,DMS,7388741008,0212830B,AC81,AimBig Employment CASUARINA,4DAR,Northern Territory,NT,AALL,,,,
76,DMS,7656008409,0212845J,AA81,AimBig Employment LEICHHARDT,4INS,Eastern Sydney,NSW,AALL,1.0,1.0,,
77,DMS,8796771004,0212796E,MO47,AimBig Employment WOOLLOONGABBA,4SOB,QLD South and West,QLD,MENH,,,,
78,ESS,9270311003,0212881B,AE81,AimBig Employment KANWAL,4CEC,Central Coast NSW,NSW,AALL,,,,
79,DMS,9345741709,0212812K,AE81,AimBig Employment KANWAL,4CEC,Central Coast NSW,NSW,AALL,,,,
80,DMS,8447744509,0212816D,AE01,AimBig Employment SINGLETON,4UPH,Newcastle/Hunter,NSW,AALL,,,,
81,DMS,258511007,0212793B,N687,AimBig Employment BURLEIGH HEADS,4GOC,QLD South and West,QLD,MENH,,,,
82,DMS,6498977509,0212845J,AA81,AimBig Employment LEICHHARDT,4INS,Eastern Sydney,NSW,AALL,0.0,0.0,0.0,0.0
83,DMS,9404359609,0212839K,MM37,AimBig Employment BANKSTOWN,4CAB,South East Sydney,NSW,MENH,,,,
84,DMS,9930423309,0212793B,MO67,AimBig Employment SURFERS PARADISE,4GOC,QLD South and West,QLD,MENH,,,,
85,DMS,9682068019,0212812K,AE81,AimBig Employment KANWAL,4CEC,Central Coast NSW,NSW,AALL,0.0,6.0,,
86,DMS,9212252709,0212812K,MK57,AimBig Employment ETTALONG BEACH,4CEC,Central Coast NSW,NSW,AALL,,,,
87,DMS,839631003,0212812K,MK47,AimBig Employment THE ENTRANCE,4CEC,Central Coast NSW,NSW,AALL,,,,
88,ESS,3618650,0212898K,AB31,AimBig Employment AUBURN,4CWS,Northern Sydney,NSW,AALL,0.0,0.0,,
89,ESS,1213398209,0212895H,AB91,AimBig Employment CORIO,4GEE,South Victoria,VIC,AALL,0.0,0.0,,
90,DMS,6688566909,0212822B,YA97,AimBig Employment Pty Ltd ST ALBANS,4WES,Western Victoria,VIC,MENH,0.0,0.0,,
91,DMS,976671709,0212826F,AD51,AimBig Employment COFFS HARBOUR,4COH,Northern NSW,NSW,AALL,0.0,0.0,,
92,DMS,1686637909,0212858C,AC21,AimBig Employment BENDIGO,4BEN,Regional Victoria,VIC,AALL,,,,
93,DMS,1981332004,0212823C,MM97,AimBig Employment TAYLORS LAKES,4WES,Western Victoria,VIC,MUSK,,,,
94,DMS,7578553609,0212844H,AB01,AimBig Employment CABRAMATTA,4FAI,Western Sydney,NSW,AALL,0.0,0.0,,
95,ESS,7619946003,0212904D,A981,AimBig Employment HURSTVILLE,4SGS,South East Sydney,NSW,AALL,1.0,1.0,,
96,DMS,1686955509,0212861J,AC61,AimBig Employment GLENORCHY,4HOB,Tasmania,TAS,AALL,0.0,0.0,,
97,DMS,2034378509,0212839K,MM37,AimBig Employment BANKSTOWN,4CAB,South East Sydney,NSW,MENH,0.0,0.0,,
98,DMS,1771355909,0212839K,MM27,AimBig Employment CAMPSIE,4CAB,South East Sydney,NSW,MENH,0.0,0.0,,
99,ESS,7973830109,0212900K,AA71,AimBig Employment MARRICKVILLE,4INS,Eastern Sydney,NSW,AALL,,,,
100,ESS,8253094003,0212902B,AA11,AimBig Employment INGLEBURN,4MAC,South Western Sydney,NSW,AALL,0.0,8.0,,
101,ESS,2223764209,0212900K,AA51,AimBig Employment SURRY HILLS,4INS,Eastern Sydney,NSW,AALL,,,,
102,ESS,8884024509,0212879H,MK77,AimBig Employment TOOWONG,4NOB,QLD North,QLD,AALL,,,,
103,DMS,2444353009,0212830B,AC81,AimBig Employment CASUARINA,4DAR,Northern Territory,NT,AALL,,,,
104,DMS,8188471109,0212823C,MN07,AimBig Employment SUNSHINE,4WES,Western Victoria,VIC,MUSK,0.0,0.0,,
105,ESS,2618805709,0212881B,MK57,AimBig Employment ETTALONG BEACH,4CEC,Central Coast NSW,NSW,AALL,,,,
106,ESS,8865766909,0212881B,AE81,AimBig Employment KANWAL,4CEC,Central Coast NSW,NSW,AALL,,,,
107,DMS,8363871609,0212849B,AA21,AimBig Employment CAMPBELLTOWN,4MAC,South Western Sydney,NSW,AALL,0.0,0.0,,
108,DMS,7890032019,0212822B,MM87,AimBig Employment WERRIBEE,4WES,Western Victoria,VIC,MENH,,,,
109,DMS,2408851007,0212817E,AD81,AimBig Employment MOONEE PONDS,4CAL,Northern Victoria,VIC,AALL,,,,
110,ESS,3377750003,0212881B,MK57,AimBig Employment ETTALONG BEACH,4CEC,Central Coast NSW,NSW,AALL,0.0,8.0,,
